Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar,21.362,C,,University of California Los Angeles,1970,1989,1560,24.6,11.2,3.6,0.7,2.0,.559,.560,.056,.721,273.4,.228
2,1959,NBA,,,PHW,Wilt Chamberlain,22.227,C,,University of Kansas,1960,1973,1045,30.1,22.9,4.4,,,.540,.540,,.511,247.3,.248
3,1985,NBA,1,13,UTA,Karl Malone,21.335,F,,Louisiana Tech University,1986,2004,1476,25.0,10.1,3.6,1.4,0.8,.516,.519,.274,.742,234.6,.205
4,1984,NBA,1,3,CHI,Michael Jordan,21.128,G-F,,University of North Carolina,1985,2003,1072,30.1,6.2,5.3,2.3,0.8,.497,.510,.327,.835,214.0,.250
5,1984,NBA,1,16,UTA,John Stockton,22.091,G,,Gonzaga University,1985,2003,1504,13.1,2.7,10.5,2.2,0.2,.515,.541,.384,.826,207.7,.209
6,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,,Wake Forest University,1998,2016,1335,19.5,11.0,3.1,0.7,2.2,.506,.509,.180,.696,201.7,.211
7,1998,NBA,1,9,MIL,Dirk Nowitzki,20.010,F,,,1999,2016,1269,22.2,7.9,2.6,0.9,0.9,.476,.498,.383,.879,192.7,.206
8,1995,NBA,1,5,MIN,Kevin Garnett,19.044,F,,,1996,2016,1427,18.2,10.2,3.8,1.3,1.4,.497,.504,.276,.790,190.4,.183
9,1960,NBA,1,1,CIN,Oscar Robertson,21.144,G-F,,University of Cincinnati,1961,1974,1040,25.7,7.5,9.5,0.1,0.0,.485,.485,,.838,189.2,.207
10,1992,NBA,1,1,ORL,Shaquille O'Neal,20.115,C,,Louisiana State University,1993,2011,1207,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
11,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,,,2004,2016,915,27.3,7.1,6.9,1.7,0.8,.496,.536,.341,.744,179.6,.240
12,1987,NBA,1,1,SAS,David Robinson,21.325,C,,United States Naval Academy,1990,2003,987,21.1,10.6,2.5,1.4,3.0,.518,.520,.250,.736,178.7,.250
13,1984,NBA,1,5,PHI,Charles Barkley,21.125,F,,Auburn University,1985,2000,1073,22.1,11.7,3.9,1.5,0.8,.541,.581,.266,.735,177.2,.216
14,1987,NBA,1,11,IND,Reggie Miller,21.307,G-F,,University of California Los Angeles,1988,2005,1389,18.2,3.0,3.0,1.1,0.2,.471,.516,.395,.888,174.4,.176
15,1996,NBA,1,13,CHH,Kobe Bryant,17.312,G,,,1997,2016,1284,25.3,5.3,4.8,1.5,0.5,.451,.481,.333,.837,173.1,.177
16,1956,NBA,1,2,STL,Bill Russell,22.083,C,,University of San Francisco,1957,1969,963,15.1,22.5,4.3,,,.440,.440,,.561,163.5,.193
17,1984,NBA,1,1,HOU,Hakeem Olajuwon,21.155,C,,University of Houston,1985,2002,1238,21.8,11.1,2.5,1.7,3.1,.512,.514,.202,.712,162.8,.177
18,1960,NBA,1,2,LAL,Jerry West,21.324,G,,West Virginia University,1961,1974,932,27.0,5.8,6.7,0.1,0.0,.474,.474,,.814,162.6,.213
19,1979,NBA,1,1,LAL,Magic Johnson,19.320,G-F,,Michigan State University,1980,1996,906,19.5,7.2,11.2,1.9,0.4,.520,.541,.303,.848,155.8,.225
20,1998,NBA,1,10,BOS,Paul Pierce,20.259,F-G,,University of Kansas,1999,2016,1254,20.7,5.8,3.7,1.4,0.6,.447,.479,.371,.807,149.3,.161
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
21,1976,NBA,1,8,GSW,Robert Parish,22.288,C,,Centenary College of Louisiana,1977,1997,1611,14.5,9.1,1.4,0.8,1.5,.537,.537,.000,.721,147.0,.154
22,1978,NBA,1,6,BOS,Larry Bird,21.189,F,,Indiana State University,1980,1992,897,24.3,10.0,6.3,1.7,0.8,.496,.509,.376,.886,145.8,.203
23,1990,NBA,1,2,SEA,Gary Payton,21.344,G,,Oregon State University,1991,2007,1335,16.3,3.9,6.7,1.8,0.2,.466,.501,.317,.729,145.5,.148
24,1996,NBA,1,5,MIN,Ray Allen,20.347,G,,University of Connecticut,1997,2014,1300,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
25,1948,BAA,1,4,NYK,Dolph Schayes,19.361,F-C,,New York University,1950,1964,996,18.5,11.3,3.1,,,.380,.380,,.849,142.4,.229
26,1994,NBA,1,2,DAL,Jason Kidd,21.103,G,,University of California,1995,2013,1391,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
27,1954,NBA,1,2,MLH,Bob Pettit,21.138,F-C,,Louisiana State University,1955,1965,792,26.4,16.2,3.0,,,.436,.436,,.761,136.0,.213
28,1983,NBA,1,14,POR,Clyde Drexler,21.011,G,,University of Houston,1984,1998,1086,20.4,6.1,5.6,2.0,0.7,.472,.498,.318,.788,135.6,.173
29,1976,NBA,1,6,BUF,Adrian Dantley,20.106,F-G,,University of Notre Dame,1977,1991,955,24.3,5.7,3.0,1.0,0.2,.540,.541,.171,.818,134.2,.189
30,1962,NBA,1,7,BOS,John Havlicek,21.357,F-G,,Ohio State University,1963,1978,1270,20.8,6.3,4.8,0.4,0.1,.439,.439,,.815,131.7,.136
31,2005,NBA,1,4,NOH,Chris Paul,20.058,G,,Wake Forest University,2006,2016,703,18.7,4.4,9.9,2.3,0.1,.474,.503,.364,.861,131.7,.249
32,1961,NBA,1,1,CHP,Walt Bellamy,21.252,C,,Indiana University,1962,1975,1043,20.1,13.7,2.4,0.0,0.0,.516,.516,,.632,130.0,.160
33,1996,NBA,1,15,PHO,Steve Nash,22.145,G,,Santa Clara University,1997,2014,1217,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
34,1985,NBA,1,1,NYK,Patrick Ewing,22.323,C-F,,Georgetown University,1986,2002,1183,21.0,9.8,1.9,1.0,2.4,.504,.507,.152,.740,126.4,.150
35,1987,NBA,1,5,SEA,Scottie Pippen,21.275,F-G,,University of Central Arkansas,1988,2004,1178,16.1,6.4,5.2,2.0,0.8,.473,.507,.326,.704,125.1,.146
36,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,,University of Nevada Las Vegas,2000,2015,1163,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
37,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,,,2002,2016,988,18.3,9.4,3.2,0.5,1.7,.513,.516,.270,.753,123.9,.170
38,1968,NBA,1,1,SDR,Elvin Hayes,22.205,F-C,,University of Houston,1969,1984,1303,21.0,12.5,1.8,0.7,1.4,.452,.453,.147,.670,120.8,.116
39,1997,NBA,1,3,BOS,Chauncey Billups,20.278,G,,University of Colorado,1998,2014,1043,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
40,1981,NBA,1,3,NJN,Buck Williams,21.098,F-C,,University of Maryland,1982,1998,1307,12.8,10.0,1.3,0.8,0.8,.549,.550,.167,.664,120.1,.136
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
41,1987,NBA,1,10,CHI,Horace Grant,21.358,F-C,,Clemson University,1988,2004,1165,11.2,8.1,2.2,1.0,1.0,.509,.511,.063,.692,118.2,.147
42,1982,NBA,1,3,UTA,Dominique Wilkins,22.174,F-G,,University of Georgia,1983,1999,1074,24.8,6.7,2.5,1.3,0.6,.461,.478,.319,.811,117.5,.148
43,1962,NBA,2,12,SYR,Chet Walker,22.038,F-G,,Bradley University,1963,1975,1032,18.2,7.1,2.1,0.1,0.0,.470,.470,,.796,117.4,.168
44,1970,NBA,1,1,DET,Bob Lanier,21.199,C,,St. Bonaventure University,1971,1984,959,20.1,10.1,3.1,0.8,1.1,.514,.515,.154,.767,117.1,.175
45,1991,NBA,1,4,DEN,Dikembe Mutombo,25.007,C,,Georgetown University,1992,2009,1196,9.8,10.3,1.0,0.4,2.8,.518,.518,.000,.684,117.0,.153
46,1998,NBA,1,5,GSW,Vince Carter,21.154,G-F,,University of North Carolina,1999,2016,1215,19.4,4.7,3.6,1.1,0.6,.440,.462,.374,.799,116.6,.139
47,1959,NBA,1,2,DET,Bailey Howell,22.075,F,,Mississippi State University,1960,1971,950,18.7,9.9,2.0,,,.480,.480,,.762,114.8,.180
48,1967,NBA,1,5,NYK,Walt Frazier,22.040,G,,Southern Illinois University,1968,1980,825,18.9,5.9,6.1,0.8,0.1,.490,.490,.000,.786,113.5,.176
49,1980,NBA,1,3,BOS,Kevin McHale,22.179,F-C,,University of Minnesota,1981,1993,971,17.9,7.3,1.7,0.4,1.7,.554,.558,.261,.798,113.0,.180
50,1977,NBA,1,8,SEA,Jack Sikma,21.214,C-F,,Illinois Wesleyan University,1978,1991,1107,15.6,9.8,3.2,1.0,0.9,.464,.470,.328,.849,112.5,.146
51,1985,NBA,1,24,POR,Terry Porter,22.077,G,,University of Wisconsin-Stevens Point,1986,2002,1274,12.2,3.0,5.6,1.2,0.1,.463,.493,.386,.836,110.4,.150
52,1968,NBA,1,2,BAL,Wes Unseld,22.088,C-F,,University of Louisville,1969,1981,984,10.8,14.0,3.9,0.6,0.4,.509,.509,.500,.633,110.1,.147
53,1981,NBA,1,20,PHO,Larry Nance,22.123,F-C,,Clemson University,1982,1994,920,17.1,8.0,2.6,0.9,2.2,.546,.548,.145,.755,109.6,.171
54,1985,NBA,1,8,DAL,Detlef Schrempf,22.154,F-C,,University of Washington,1986,2001,1136,13.9,6.2,3.4,0.8,0.3,.491,.505,.384,.803,109.5,.156
55,1999,NBA,1,1,CHI,Elton Brand,20.116,F,,Duke University,2000,2015,1041,16.1,8.6,2.1,0.9,1.7,.501,.501,.100,.736,109.5,.151
56,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,,Marquette University,2004,2016,785,24.1,4.9,5.9,1.7,0.9,.490,.511,.290,.766,109.4,.185
57,1986,NBA,2,46,PHO,Jeff Hornacek,23.051,G,,Iowa State University,1987,2000,1077,14.5,3.4,4.9,1.4,0.2,.496,.515,.403,.877,108.9,.154
58,1950,NBA,,,PHW,Paul Arizin,22.021,F-G,,Villanova University,1951,1962,713,22.8,8.6,2.3,,,.421,.421,,.810,108.8,.210
59,1971,NBA,7,117,CHI,Artis Gilmore,21.194,C,,Jacksonville University,1977,1988,909,17.1,10.1,2.0,0.5,1.9,.599,.600,.077,.713,107.4,.174
60,2004,NBA,1,1,ORL,Dwight Howard,18.203,C-F,,,2005,2016,811,18.1,12.7,1.5,1.0,2.1,.579,.581,.104,.573,106.6,.177
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
61,1984,NBA,1,9,KCK,Otis Thorpe,21.324,F-C,,Providence College,1985,2001,1257,14.0,8.2,2.2,0.7,0.4,.546,.548,.047,.687,106.4,.128
62,1972,NBA,1,12,MIL,Julius Erving,22.053,F-G,,University of Massachusetts Amherst,1977,1987,836,22.0,6.7,3.9,1.8,1.5,.507,.510,.261,.777,106.2,.178
63,1979,NBA,3,65,CLE,Bill Laimbeer,22.042,C,,University of Notre Dame,1981,1994,1068,12.9,9.7,2.0,0.7,0.9,.498,.508,.326,.837,105.6,.149
64,1984,NBA,1,4,DAL,Sam Perkins,23.011,F-C,,University of North Carolina,1985,2001,1286,11.9,6.0,1.5,0.9,0.7,.459,.482,.362,.811,105.4,.138
65,1995,NBA,1,4,WSB,Rasheed Wallace,20.289,F-C,,University of North Carolina,1996,2013,1109,14.4,6.7,1.8,1.0,1.3,.467,.508,.336,.721,105.1,.139
66,1956,NBA,,,MNL,Elgin Baylor,21.232,F,,Seattle University,1959,1972,846,27.4,13.5,4.3,,,.431,.431,,.780,104.2,.148
67,1958,NBA,1,1,MNL,Elgin Baylor,23.224,F,,Seattle University,1959,1972,846,27.4,13.5,4.3,,,.431,.431,,.780,104.2,.148
68,1978,NBA,2,36,PHI,Maurice Cheeks,21.279,G,,West Texas A&amp;M University,1979,1993,1101,11.1,2.8,6.7,2.1,0.3,.523,.529,.255,.793,103.5,.143
69,1958,NBA,2,13,SYR,Hal Greer,21.305,G-F,,Marshall University,1959,1973,1122,19.2,5.0,4.0,,,.452,.452,,.801,102.7,.124
70,1976,NBA,2,23,MIL,Alex English,22.160,F,,University of South Carolina,1977,1991,1193,21.5,5.5,3.6,0.9,0.7,.507,.508,.217,.832,100.7,.127
71,1994,NBA,1,10,LAL,Eddie Jones,22.258,G-F,,Temple University,1995,2008,954,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
72,1949,BAA,,,STB,Ed Macauley,21.004,C-F,,Saint Louis University,1950,1959,641,17.5,6.7,3.2,,,.436,.436,,.761,100.4,.267
73,2001,NBA,1,28,SAS,Tony Parker,19.046,G,,,2002,2016,1012,16.9,2.9,5.9,0.9,0.1,.494,.514,.323,.753,100.3,.147
74,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,,Georgia Institute of Technology,2004,2016,844,19.2,8.6,2.0,0.8,1.1,.495,.505,.327,.799,100.0,.159
75,1994,NBA,1,3,DET,Grant Hill,21.272,F-G,,Duke University,1995,2013,1026,16.7,6.0,4.1,1.2,0.6,.483,.493,.314,.769,99.9,.138
76,1999,NBA,1,8,CLE,Andre Miller,23.108,G,,University of Utah,2000,2015,1265,12.8,3.8,6.7,1.2,0.2,.460,.477,.217,.807,99.8,.120
77,1985,NBA,1,23,LAL,A.C. Green,21.263,F-C,,Oregon State University,1986,2001,1278,9.6,7.4,1.1,0.8,0.4,.494,.507,.254,.734,99.5,.131
78,1996,NBA,1,1,PHI,Allen Iverson,21.025,G,,Georgetown University,1997,2010,914,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
79,1962,NBA,,,CIN,Jerry Lucas,22.001,F-C,,Ohio State University,1964,1974,829,17.0,15.6,3.3,0.0,0.0,.499,.499,,.783,98.4,.147
80,1999,NBA,2,57,SAS,Manu Ginobili,21.342,G,,,2003,2016,869,14.3,3.8,4.0,1.4,0.3,.450,.502,.368,.827,97.9,.202
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
81,1999,NBA,1,10,ATL,Jason Terry,21.293,G,,University of Arizona,2000,2016,1215,14.8,2.5,4.2,1.2,0.2,.445,.484,.380,.846,97.6,.121
82,1997,NBA,1,9,TOR,Tracy McGrady,18.037,F-G,,,1998,2012,938,19.6,5.6,4.4,1.2,0.9,.435,.461,.338,.746,97.3,.152
83,1989,NBA,1,26,LAL,Vlade Divac,21.150,C,,,1990,2005,1134,11.8,8.2,3.1,1.1,1.4,.495,.506,.235,.692,96.4,.137
84,1960,NBA,1,6,STL,Lenny Wilkens,22.171,G,,Providence College,1961,1975,1077,16.5,4.7,6.7,0.2,0.0,.432,.432,,.774,95.5,.120
85,2007,NBA,1,2,SEA,Kevin Durant,18.276,F,,University of Texas at Austin,2008,2016,573,27.3,6.9,3.5,1.2,1.0,.481,.512,.379,.881,94.2,.208
86,1965,NBA,1,2,SFW,Rick Barry,21.044,F,,University of Miami,1966,1980,794,23.2,6.5,5.1,1.4,0.3,.449,.450,.330,.900,93.4,.156
87,1985,NBA,1,7,GSW,Chris Mullin,21.329,F-G,,St. John's University,1986,2001,986,18.2,4.1,3.5,1.6,0.6,.509,.533,.384,.865,93.1,.139
88,1987,NBA,1,7,CLE,Kevin Johnson,21.115,G,,University of California,1988,2000,735,17.9,3.3,9.1,1.5,0.2,.493,.504,.305,.841,92.8,.178
89,1956,NBA,,,MNL,Sam Jones,22.316,G-F,,North Carolina Central University,1958,1969,871,17.7,4.9,2.5,,,.456,.456,,.803,92.3,.182
90,1957,NBA,1,8,BOS,Sam Jones,23.303,G-F,,North Carolina Central University,1958,1969,871,17.7,4.9,2.5,,,.456,.456,,.803,92.3,.182
91,1987,NBA,1,18,NYK,Mark Jackson,22.087,G,,St. John's University,1988,2004,1296,9.6,3.8,8.0,1.2,0.1,.447,.477,.332,.770,91.8,.113
92,1950,NBA,1,3,TRI,Bob Cousy,21.264,G,,College of the Holy Cross,1951,1970,924,18.4,5.2,7.5,,,.375,.375,,.803,91.1,.145
93,1982,NBA,1,2,SDC,Terry Cummings,21.111,F,,DePaul University,1983,2000,1183,16.4,7.3,1.9,1.1,0.5,.484,.486,.295,.706,91.1,.129
94,1998,NBA,2,32,SEA,Rashard Lewis,18.325,F,,,1999,2014,1049,14.9,5.2,1.7,1.1,0.5,.452,.491,.386,.805,90.9,.130
95,1988,NBA,1,6,LAC,Hersey Hawkins,21.278,G,,Bradley University,1989,2001,983,14.7,3.6,2.9,1.7,0.3,.461,.488,.394,.870,90.6,.136
96,1979,NBA,1,5,MIL,Sidney Moncrief,21.282,G,,University of Arkansas,1980,1991,767,15.6,4.7,3.6,1.2,0.3,.502,.513,.284,.831,90.3,.187
97,2002,NBA,1,9,PHO,Amar'e Stoudemire,19.227,F-C,,,2003,2016,795,19.7,8.1,1.3,0.8,1.3,.536,.540,.236,.761,90.2,.170
98,1986,NBA,2,27,DET,Dennis Rodman,25.041,F,,Southeastern Oklahoma State University,1987,2000,911,7.3,13.1,1.8,0.7,0.6,.521,.542,.231,.584,89.8,.150
99,1992,NBA,2,29,NJN,P.J. Brown,22.259,F-C,,Louisiana Tech University,1994,2008,1089,9.1,7.7,1.5,0.8,1.0,.460,.463,.136,.794,89.8,.128
100,1985,NBA,1,9,CLE,Charles Oakley,21.188,F-C,,Virginia Union University,1986,2004,1282,9.7,9.5,2.5,1.1,0.3,.471,.477,.253,.761,89.7,.107
